1999; 84.1
2000; 84.5
2001; 84.3
2002; 84.8
2003; 85.1
2004; 82.7
2005; 71.7
2007; 74.0
2008; 68.1
2009; 68.9
2010; 68.7
2011; 88 
2012; 76 
2013; 74.9
2014; 73.3
